COD_SUOLO,DESC_SUOLO,English_Name,HRL_Code,HRL_Name,Confidence,Matched_By,Is_Excluded
445,LAVANDA,Lavender,,,none,no_match,False
951,TIMO,Thyme,,,none,no_match,False
457,ECHINACEA PALLIDA,Echinacea pallida,,,none,no_match,False
964,MAGGIORANA,Marjoram,,,none,no_match,False
926,FINOCCHIO,Fennel,1210.0,Fresh Vegetables,high,italian:finocchio,False
668,EUCALIPTO,Eucalyptus,,,none,no_match,False
322,LIPPIA CITRIODORA O CEDRINA O LIMONCINA (ALOYSIA CITRODORA),Lemon verbena,2310.0,Fruits,high,english:lemon,False
963,ORIGANO,Oregano,,,none,no_match,False
473,LAMPONE,Raspberry,2310.0,Fruits,high,italian:lampone,False
965,ROSMARINO,Rosemary,,,none,no_match,False
348,MALVA,Mallow,,,none,no_match,False
961,MELISSA,Lemon balm,2310.0,Fruits,high,english:lemon,False
903,BASILICO,Basil,,,none,no_match,False
471,LOTO (KAKI) (COMPRESO IL CACO MELA),Persimmon,,,none,no_match,False
952,ZAFFERANO,Saffron,,,none,no_match,False
077,SENAPE,Mustard,,,none,no_match,False
734,FIORI EDULI,Edible flowers,,,none,no_match,False
899,PRATO PASCOLO,Pasture meadow,,,none,no_match,False
939,SPINACIO,Spinach,1210.0,Fresh Vegetables,high,italian:spinaci,False
533,AVENA,Oats,1150.0,Other cereals,high,italian:avena,False
024,"BIETOLA (Compresa  la CHELTENHAM BEET, BARBABIETOLA ROSSA/BIETOLA DA COSTA)",,1210.0,Fresh Vegetables,high,italian:bietola,False
436,SENAPE BRUNA,Brown mustard,,,none,no_match,False
494,NOCCIOLO,Hazelnut,2320.0,Nuts,high,italian:nocciolo,False
279,MENTA DOLCE,Spearmint,1220.0,Dry pulses,high,english:pea,False
408,MELOGRANO,Pomegranate,1110.0,Wheat,high,italian:grano,False
842,RICINO,Castor bean,1220.0,Dry pulses,high,english:bean,False
935,RADICCHIO,Radicchio,,,none,no_match,False
575,"FAVE, FAVINO E FAVETTE",,1220.0,Dry pulses,high,italian:favino,False
941,ZUCCHINO,Zucchini (courgette),1210.0,Fresh Vegetables,high,english:zucchini,False
950,PRUGNE,Plums,2310.0,Fruits,high,english:plum,False
684,SEGALA,Rye,1150.0,Other cereals,high,english:rye,False
679,FRUTTETI FAMILIARI,Family orchards,1210.0,Fresh Vegetables,high,english:chard,False
541,MIZUNA O BRASSICA RAPA,Mizuna,,,none,no_match,False
919,CICORIA,Chicory,,,none,no_match,False
501,TARTUFO,Truffle,,,none,no_match,False
932,PEPERONE,Bell pepper,1210.0,Fresh Vegetables,high,italian:peperone,False
129,MELANZANA,Eggplant (aubergine),1210.0,Fresh Vegetables,high,italian:melanzana,False
468,"CILIEGIO ACIDO (MARASCA,VISCIOLA,AMARENA)",Cherry,2310.0,Fruits,high,italian:ciliegio,False
303,FAGGIO,,,,none,no_match,False
056,CANAPA,Hemp,1440.0,"Flax, cotton and hemp",high,italian:canapa,False
917,CETRIOLO,Cucumber,,,none,no_match,False
507,PIANTE AROMATICHE E MEDICINALI E SPEZIE,Aromatic and medicinal plants and spices,,,none,no_match,False
646,PIANTE ORNAMENTALI,Ornamental plants,,,none,no_match,False
112,CANNA CINESE (MISCANTHUS SINENSIS),Chinese silver grass (Miscanthus sinensis),,,none,no_match,False
429,RAFANO,Horseradish,,,none,no_match,False
484,CRESCIONE DEI GIARDINI O CRESCIONE INGLESE,Garden cress,,,none,no_match,False
093,TRITICALE,Triticale,1150.0,Other cereals,high,italian:triticale,False
118,CAVOLFIORE,Cauliflower,,,none,no_match,False
909,CARCIOFO,Artichoke,1210.0,Fresh Vegetables,high,italian:carciofo,False
167,RUCOLA,Rocket (arugula),,,none,no_match,False
226,CORIANDOLO,Coriander,,,none,no_match,False
954,CAVOLO RAPA,Kohlrabi,1210.0,Fresh Vegetables,high,italian:cavolo,False
135,PORRO,Leek,,,none,no_match,False
324,CAMOMILLA,Chamomile,,,none,no_match,False
422,BAMBU,Bamboo,,,none,no_match,False
661,COTOGNO,Quince,,,none,no_match,False
476,NESPOLO,Medlar,,,none,no_match,False
840,SULLA,Sulla (Hedysarum coronarium),,,none,no_match,False
655,ARBORETO CONSOCIABILE (CON COLTIVAZIONI ERBACEE),Mixed arboretum (with herbaceous crops),,,none,no_match,False
662,COTONE,Cotton,1440.0,"Flax, cotton and hemp",high,italian:cotone,False
053,PANICO,Foxtail millet,1150.0,Other cereals,high,english:millet,False
219,CIPOLLETTA  CIPOLLA D'INVERNO O BUNCHING ONION,,1210.0,Fresh Vegetables,high,italian:cipolla,False
490,FRUTTA A GUSCIO,Nuts,,,none,no_match,False
680,SCALOGNO,Shallot,,,none,no_match,False
475,"MIRTILLI ROSSI, MIRTILLI NERI ED ALTRI FRUTTI DEL GENERE ""VACCINIUM""",,,,none,no_match,False
384,TRIFOGLIO  (SP. TRIFOLIUM PRATENSE L.),Clover,,,none,no_match,False
970,CAVOLO BROCCOLO,Broccoli,1210.0,Fresh Vegetables,high,italian:cavolo,False
962,MENTA,Mint,,,none,no_match,False
488,ECHINACEA PURPUREA,Echinacea purpurea,,,none,no_match,False
328,ELICRISO,Helichrysum,1140.0,Rice,high,italian:riso,False
438,SENAPE NERA,Black mustard,,,none,no_match,False
424,BAMBU GIGANTE,Giant bamboo,,,none,no_match,False
492,CASTAGNO,Chestnut,2320.0,Nuts,high,italian:castagno,False
080,CRISANTEMO,Chrysanthemum,,,none,no_match,False
474,MORE,Blackberry,,,none,no_match,False
545,CHENOPODIUM QUINOA,Quinoa,,,none,no_match,False
787,MURETTI TRADIZIONALI,Traditional dry stone walls,,,none,no_match,False
228,GIUGGIOLO,Jujube,,,none,no_match,False
480,RIBES BIANCO,White currant (gooseberry),2310.0,Fruits,high,italian:ribes,False
383,TRIFOGLIO (SP. TRIFOLIUM INCARNATUM L.),Crimson clover (Trifolium incarnatum),,,none,no_match,False
388,TRIFOGLIO (SP. TRIFOLIUM RESUPINATUM L.),Persian clover (Trifolium resupinatum),,,none,no_match,False
359,FESTUCA  (SP. FESTUCA ARUNDINACEA SCHREB.),,,,none,no_match,False
089,PATATA AMERICANA (BATATA),Sweet potato,1310.0,Potatoes,high,italian:patata,False
145,SEDANO,Celery,1210.0,Fresh Vegetables,high,italian:sedano,False
477,RIBES NERO,Blackcurrant,2310.0,Fruits,high,italian:ribes,False
120,POINSETTIA (STELLA DI NATALE),Poinsettia,,,none,no_match,False
535,GERANIO,Geranium,,,none,no_match,False
790,TERRAZZAMENTI,Terraces,,,none,no_match,False
597,GRANO SARACENO,Buckwheat,1110.0,Wheat,high,italian:grano,False
316,OLIVELLO O OLIVELLO SPINOSO,Sea buckthorn,,,none,no_match,False
306,BORRAGINE,Borage,,,none,no_match,False
292,ARONIA NERA,Black chokeberry (Aronia),,,none,no_match,False
667,SALICE,Willow,,,none,no_match,False
280,MENTA PIPERITA,Peppermint,1210.0,Fresh Vegetables,high,english:pepper,False
472,FICO,Fig,2310.0,Fruits,high,italian:fico,False
619,COLTIVAZIONI ARBOREE PERMANENTI SOGGETTE A DIVIETO DI FERTILIZZAZIONE E DI TRATTAMENTO FITOSANITARIO  LUNGO I CORSI D?ACQUA,,,,none,no_match,False
076,LUPPOLO,Hop,,,none,no_match,False
493,MANDORLO,Almond,2320.0,Nuts,high,italian:mandorlo,False
043,RUSCUS,Butcher’s broom (Ruscus),,,none,no_match,False
031,PEONIA,Peony,,,none,no_match,False
